jud,win,loss,1052-1,1052-2,judfile,1052-1-1,1052-1-2,1052-1-3,1052-1-4,1052-1-5,1052-1-6,1052-1-7,1052-1-8,1052-1-9,1052-1-10,1052-2-A,1052-2-B,1052-2-C,1052-2-D,1052-2-E,1052-2-F,1052-2-G
臺灣嘉義地方法院 100 年度 婚 字第 95 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 98 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 167 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 178 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 203 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 209 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 212 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 213 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 224 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 226 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 232 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 234 號民事判決,0,1,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 241 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 244 號民事判決,0,1,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 249 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 250 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 253 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 264 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 312 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 313 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 319 號民事判決,1,0,1,0,jud100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 325 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 330 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 331 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 332 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 334 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 337 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 343 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 347 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 348 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 99 年度 婚 字第 356 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
